Date,Open,High,Low,Close,Volume
2018-02-07,163.09,163.4,159.07,159.54,51608600
2018-02-08,160.29,161,155.03,155.15,54390500
2018-02-09,157.07,157.89,150.24,156.41,70672600
2018-02-12,158.5,163.89,157.51,162.71,60819500
2018-02-13,161.95,164.75,161.65,164.34,32549200
2018-02-14,163.04,167.54,162.88,167.37,40644900
2018-02-15,169.79,173.09,169,172.99,51147200
2018-02-16,172.36,174.82,171.77,172.43,40176100
2018-02-20,172.05,174.26,171.42,171.85,33930500
2018-02-21,172.83,174.12,171.01,171.07,37471600
2018-02-22,171.8,173.95,171.71,172.5,30991900
2018-02-23,173.67,175.65,173.54,175.5,33812400
2018-02-26,176.35,179.39,176.21,178.97,38162200
2018-02-27,179.1,180.48,178.16,178.39,38928100
2018-02-28,179.26,180.62,178.05,178.12,37782100
2018-03-01,178.54,179.78,172.66,175,48802000
2018-03-02,172.8,176.3,172.45,176.21,38454000
2018-03-05,175.21,177.74,174.52,176.82,28401400
2018-03-06,177.91,178.25,176.13,176.67,23788500
2018-03-07,174.94,175.85,174.27,175.03,31703500
2018-03-08,175.48,177.12,175.07,176.94,23774100
2018-03-09,177.96,180,177.39,179.98,32185200
2018-03-12,180.29,182.39,180.21,181.72,32207100
2018-03-13,182.59,183.5,179.24,179.97,31693500
2018-03-14,180.32,180.52,177.81,178.44,29368400
2018-03-15,178.5,180.24,178.07,178.65,22743800
2018-03-16,178.65,179.12,177.62,178.02,39404700
2018-03-19,177.32,177.47,173.66,175.3,33446800
2018-03-20,175.24,176.8,174.94,175.24,19649400
2018-03-21,175.04,175.09,171.26,171.27,37054900
2018-03-22,170,172.68,168.6,168.85,41490800
2018-03-23,168.39,169.92,164.94,164.94,41028800
2018-03-26,168.07,173.1,166.44,172.77,37541200
2018-03-27,173.68,175.15,166.92,168.34,40922600
2018-03-28,167.25,170.02,165.19,166.48,41668500
2018-03-29,167.81,171.75,166.9,167.78,38398500
2018-04-02,166.64,168.94,164.47,166.68,37586800
2018-04-03,167.64,168.75,164.88,168.39,30278000
2018-04-04,164.88,172.01,164.77,171.61,34605500
2018-04-05,172.58,174.23,172.08,172.8,26933200
2018-04-06,170.97,172.48,168.2,168.38,35005300
2018-04-09,169.88,173.09,169.85,170.05,29017700
2018-04-10,173,174,171.53,173.25,28408600
2018-04-11,172.23,173.92,171.7,172.44,22431600
2018-04-12,173.41,175,173.04,174.14,22889300
2018-04-13,174.78,175.84,173.85,174.73,25124300
2018-04-16,175.03,176.19,174.83,175.82,21578400
2018-04-17,176.49,178.94,176.41,178.24,26605400
2018-04-18,177.81,178.82,176.88,177.84,20754500
2018-04-19,173.76,175.39,172.66,172.8,34808800
2018-04-20,170.6,171.22,165.43,165.72,65491100
2018-04-23,166.83,166.92,164.09,165.24,36515500
2018-04-24,165.67,166.33,161.22,162.94,33692000
2018-04-25,162.62,165.42,162.41,163.65,28382100
2018-04-26,164.12,165.73,163.37,164.22,27963000
2018-04-27,164,164.33,160.63,162.32,35655800
2018-04-30,162.13,167.26,161.84,165.26,42427400
2018-05-01,166.41,169.2,165.27,169.1,53569400
2018-05-02,175.23,177.75,173.8,176.57,66539400
2018-05-03,175.88,177.5,174.44,176.89,34068200
2018-05-04,178.25,184.25,178.17,183.83,55976600